epoch,global_step,train_tokens,val_tokens,train_mean_loss,val_mean_loss,val_perplexity,val_perplexity_overflow,train_tokens_per_second,cuda_async_pool_peak_bytes,improved
0,2385,305216,32704,3.64342391153,3.7623034522,43.0474696526,0,957.829118021,3008656476,1
1,4770,305216,32704,3.26327012485,3.71021266926,40.8624957998,0,963.184206846,3008656476,1
2,7155,305216,32704,2.97766675497,3.79583682893,44.5154726583,0,967.927568945,3008656476,0
3,9540,305216,32704,2.65050837901,3.98611644943,53.8453715666,0,963.419171495,3008656476,0
4,11925,305216,32704,2.26582381637,4.31823628149,75.0561335929,0,985.828426747,3008656476,0
