epoch,global_step,train_tokens,val_tokens,train_mean_loss,val_mean_loss,val_perplexity,val_perplexity_overflow,train_tokens_per_second,cuda_async_pool_peak_bytes,improved
0,2385,305216,32704,3.62040055036,3.8443079578,46.7263365623,0,968.808471442,3008656476,1
1,4770,305216,32704,3.07557422321,3.81177762063,45.2307705965,0,975.415964238,3008656476,1
2,7155,305216,32704,2.52584860792,4.11912962695,61.5056860694,0,980.241359127,3008656476,0
3,9540,305216,32704,1.89321888605,4.82585793512,124.693401354,0,977.90841562,3008656476,0
4,11925,305216,32704,1.31160235175,5.57148814435,262.824929795,0,998.310820578,3008656476,0
