epoch,global_step,train_tokens,val_tokens,train_mean_loss,val_mean_loss,val_perplexity,val_perplexity_overflow,train_tokens_per_second,cuda_async_pool_peak_bytes,improved
0,2385,305216,32704,3.64506949127,3.92490585583,50.6483095912,0,1155.80477532,3008656476,1
1,4770,305216,32704,2.94504374092,3.94334604222,51.5909382741,0,1179.45276725,3008656476,0
2,7155,305216,32704,2.17299642006,4.47142050364,87.480901734,0,1190.87167072,3008656476,0
3,9540,305216,32704,1.40917595977,5.42552626903,227.130846798,0,1191.58853932,3008656476,0
