learning_rate,early_stop_epoch,best_epoch,best_validation_loss,best_validation_perplexity,final_train_loss,final_validation_loss,global_steps
0.0001,4,1,3.92490585583,50.6483095912,1.40917595977,5.42552626903,9540
0.00005,5,2,3.81177762063,45.2307705965,1.31160235175,5.57148814435,11925
0.00002,5,2,3.71021266926,40.8624957998,2.26582381637,4.31823628149,11925
